property_id,property_type,listing_title,locality,city,zone,renter_segment,bedrooms,bathrooms,floor,total_floors,property_age,monthly_rent,security_deposit,maintenance,electricity_estimate,area_sqft,furnishing_status,parking,balcony,lift,power_backup,water_supply,ac,wifi,food,laundry,gym,cctv,security,housekeeping,metro_station,metro_distance_km,nearest_college,college_distance_km,nearest_office_hub,office_distance_km,school_distance_km,hospital_distance_km,rating,review_count,available,listing_date,source,rent_per_sqft,vfm_student,vfm_professional,vfm_bachelor,vfm_family
PROP_001,2BHK,Fully Furnished 2BHK Apartment in Noida Sector 62,Noida Sector 62,Noida,Noida,Family,2,2,1,20,0,17000,34000,0.0,1678.0,919,Furnished,Yes,Yes,Yes,Yes,24 Hours,Yes,No,No,No,Yes,Yes,Yes,No,Noida Sector 62 Metro Station,4.38,JSS Academy of Technical Education,3.97,Noida Sector 62 IT Park,8.5,4.18,3.83,4.7,73,Yes,2026-08-11,NoBroker,18.5,48.5,43.0,52.4,43.2
PROP_002,1BHK,Fully Furnished 1BHK Apartment in Rajinder Nagar,Rajinder Nagar,Delhi,Central Delhi,Working Bachelor,1,1,2,3,12,22000,44000,1700.0,1000.0,582,Furnished,No,No,No,No,4 Hours,Yes,Yes,No,No,No,Yes,Yes,No,Rajendra Place Metro Station,0.77,Venkateshwara College,1.85,Rajendra Place IT Hub,10.37,3.06,2.49,4.2,59,Yes,2026-07-01,MagicBricks,37.8,58.0,48.6,58.0,45.5
PROP_003,1BHK,Fully Furnished 1BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Student,1,1,3,12,1,14000,28000,900.0,1100.0,574,Furnished,No,Yes,Yes,Yes,4 Hours,Yes,Yes,No,No,No,Yes,Yes,Yes,Rohini West Metro Station,2.69,Delhi Technological University (DTU),4.14,Netaji Subhash Place,3.69,0.54,3.69,3.6,4,No,2026-07-12,NoBroker,24.39,50.3,45.8,54.9,54.1
PROP_004,2BHK,Fully Furnished 2BHK Apartment in Noida Sector 62,Noida Sector 62,Noida,Noida,Family,2,2,7,24,2,22500,45000,1700.0,1600.0,955,Furnished,Yes,Yes,No,Yes,12 Hours,Yes,No,No,No,No,Yes,Yes,Yes,Noida Sector 62 Metro Station,2.65,JSS Academy of Technical Education,5.56,Noida Sector 62 IT Park,11.35,0.47,3.63,4.1,67,Yes,2026-08-02,MagicBricks,23.56,48.1,43.4,52.7,56.6
PROP_005,3BHK,Fully Furnished 3BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,3,2,8,8,8,21000,63000,0.0,2000.0,1409,Furnished,Yes,No,Yes,Yes,4 Hours,Yes,No,No,No,No,Yes,No,Yes,Laxmi Nagar Metro Station,3.26,Shyam Lal College,6.2,Noida Sector 62 IT Park,9.7,1.47,3.08,4.7,6,Yes,2026-07-27,MagicBricks,14.9,45.0,39.3,48.6,47.2
PROP_006,1BHK,Fully Furnished 1BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Student,1,1,19,20,4,14000,28000,1100.0,1000.0,569,Furnished,No,No,Yes,Yes,12 Hours,Yes,Yes,No,No,Yes,Yes,Yes,No,Rohini West Metro Station,3.9,Delhi Technological University (DTU),9.68,Netaji Subhash Place,4.55,3.28,2.58,4.9,68,Yes,2026-08-06,99acres,24.6,46.3,41.9,51.2,43.1
PROP_007,2BHK,Fully Furnished 2BHK Apartment in Pari Chowk,Pari Chowk,Greater Noida,Greater Noida,Family,2,2,8,12,9,13500,40000,1964.0,1600.0,982,Furnished,No,Yes,Yes,Yes,4 Hours,Yes,No,No,No,No,Yes,Yes,No,Pari Chowk Metro Station,3.0,Galgotias University,3.05,Greater Noida Industrial Area,10.13,3.17,3.18,4.8,30,Yes,2026-08-01,NoBroker,13.75,47.3,40.2,49.8,43.3
PROP_008,3BHK,Fully Furnished 3BHK Apartment in Saket,Saket,Delhi,South Delhi,Working Professional,3,2,21,24,10,65500,131000,0.0,2900.0,1617,Furnished,No,Yes,Yes,No,12 Hours,Yes,No,No,No,No,Yes,Yes,Yes,Saket Metro Station,1.79,Gargi College,1.78,Saket District Centre,3.6,2.19,2.19,4.0,7,Yes,2026-07-20,MagicBricks,40.51,50.7,44.3,51.7,50.0
PROP_009,3BHK,Fully Furnished 3BHK Apartment in Shakarpur,Shakarpur,Delhi,East Delhi,Family,3,2,0,3,13,23000,69000,4000.0,2400.0,1225,Furnished,Yes,Yes,No,Yes,12 Hours,Yes,No,No,No,No,Yes,No,Yes,Nirman Vihar Metro Station,1.88,Bhim Rao Ambedkar College,6.62,Noida Sector 62 IT Park,8.96,1.65,1.44,3.2,19,Yes,2026-07-02,MagicBricks,18.78,48.5,42.9,52.2,49.7
PROP_011,1RK,Semi-Furnished 1RK Apartment in Malviya Nagar,Malviya Nagar,Delhi,South Delhi,Family,1,1,11,15,14,10000,20000,700.0,500.0,279,Semi-Furnished,No,Yes,Yes,Yes,12 Hours,No,No,No,Yes,No,Yes,Yes,No,Malviya Nagar Metro Station,0.55,College of Vocational Studies,0.42,Okhla Industrial Area,4.62,2.5,2.24,4.8,32,No,2026-08-06,MagicBricks,35.84,75.5,57.1,66.5,49.1
