property_id,property_type,listing_title,locality,city,zone,renter_segment,bedrooms,bathrooms,floor,total_floors,property_age,monthly_rent,security_deposit,maintenance,electricity_estimate,area_sqft,furnishing_status,parking,balcony,lift,power_backup,water_supply,ac,wifi,food,laundry,gym,cctv,security,housekeeping,metro_station,metro_distance_km,nearest_college,college_distance_km,nearest_office_hub,office_distance_km,school_distance_km,hospital_distance_km,rating,review_count,available,listing_date,source
PROP_001,2BHK,Fully Furnished 2BHK Apartment in Noida Sector 62,noida sector 62,Noida,Noida,Family,2,2,1,20,0,17000,34000,0,,919,Furnished,yes,Yes,1,Y,24 Hours,yes,N,no,N,1,Y,Yes,No,Noida Sector 62 Metro Station,4.38,JSS Academy of Technical Education,3.97km,Noida Sector 62 IT Park,8.5km,4.18 km,3.83km,4.7,73,Yes,2026-08-11,NoBroker
PROP_002,1BHK,Fully Furnished 1BHK Apartment in Rajinder Nagar,RAJINDER NAGAR,Delhi,Central Delhi,Working Bachelor,1,1,2,3,12,"Rs. 22,000/month",44k,"₹1,700",1000,582,unfurnished,no,N,no,0,4 Hours,1,yes,N,0,0,yes,Yes,No,Rajendra Place Metro Station,0.77,Venkateshwara College,1.85km,Rajendra Place IT Hub,10.37,3.06 km,2.49km,4.2,59,Yes,2026-07-01,MagicBricks
PROP_003,1BHK,Fully Furnished 1BHK Apartment in Rohini,Rohini,Delhi,North Delhi,Student,1,1,3,12,1,14k,"Rs. 28,000/month",900,1100,574,Furnished,No,1,yes,1,4 Hours,yes,1,no,0,N,1,yes,Yes,Rohini West Metro Station,2.69km,Delhi Technological University (DTU),,Netaji Subhash Place,3.69km,0.54,,3.6,4,No,2026-07-12,NoBroker
PROP_004,2BHK,Fully Furnished 2BHK Apartment in Noida Sector 62,Noida Sec 62,Noida,Noida,Family,2,2,7,24,2,"Rs. 22,500/month","₹45,000",1700,1600,955,fully-furnished,Yes,Yes,no,1,12 Hours,yes,No,No,N,0,1,Y,Yes,Noida Sector 62 Metro Station,2.65km,JSS Academy of Technical Education,5.56km,Noida Sector 62 IT Park,11.35 km,0.47 km,3.63km,4.1,67,Yes,2026-08-02,MagicBricks
PROP_005,3BHK,Fully Furnished 3BHK Apartment in Laxmi Nagar,Laxmi Nagar,Delhi,East Delhi,Family,3,2,8,8,8,"₹21,000","Rs. 63,000/month",,2000,1409,unfurnished,Y,no,yes,Y,4 Hours,Yes,N,No,no,N,Yes,no,yes,Laxmi Nagar Metro Station,3.26 km,Shyam Lal College,,Noida Sector 62 IT Park,9.7,1.47,3.08 km,4.7,6,1,2026-07-27,MagicBricks
PROP_006,1BHK,Fully Furnished 1BHK Apartment in Rohini,rohini,Delhi,North Delhi,Student,1,1,19,20,4,"₹14,000",28000,"₹1,100",1000,569,Furnished,no,no,Yes,Y,12 Hours,yes,Yes,No,no,1,yes,yes,N,Rohini West Metro Station,3.9km,Delhi Technological University (DTU),9.68km,Netaji Subhash Place,4.55 km,3.28 km,2.58km,4.9,68,Yes,2026-08-06,99acres
PROP_007,2BHK,Fully Furnished 2BHK Apartment in Pari Chowk,Pari Chowk,Greater Noida,Greater Noida,Family,2,2,8,12,9,"₹13,500",40k,,1600,982,Unfurnished,N,Y,yes,1,4 Hours,yes,N,No,no,N,1,1,no,Pari Chowk Metro Station,3.0km,Galgotias University,3.05 km,Greater Noida Industrial Area,10.13 km,3.17km,,4.8,30,yes,2026-08-01,NoBroker
PROP_008,3BHK,Fully Furnished 3BHK Apartment in Saket,SAKET,Delhi,South Delhi,Working Professional,3,2,21,24,10,65500,131k,,2900,1617,unfurnished,0,1,1,0,12 Hours,Y,N,0,N,N,Y,Yes,yes,Saket Metro Station,1.79,Gargi College,1.78km,Saket District Centre,3.6km,2.19 km,2.19 km,4.0,7,1,2026-07-20,MagicBricks
PROP_009,3BHK,Fully Furnished 3BHK Apartment in Shakarpur,Shakarpur,Delhi,East Delhi,Family,3,2,0,3,13,"Rs. 23,000/month","Rs. 69,000/month","₹4,000",2400,1225,fully-furnished,1,Y,0,1,12 Hours,Y,0,0,No,0,Yes,N,Yes,Nirman Vihar Metro Station,,Bhim Rao Ambedkar College,6.62,Noida Sector 62 IT Park,,,1.44km,3.2,19,1,2026-07-02,MagicBricks
PROP_009,3BHK,Fully Furnished 3BHK Apartment in Golf Course Road,Golf Course Road,Gurugram,Gurugram,Family,3,2,4,4,1,155k,310k,4k,4000,1978,Unfurnished,1,Yes,N,1,12 Hours,Yes,Y,0,0,no,N,1,N,Sector 42-43 Metro Station,1.52km,GD Goenka University,2.68 km,Golf Course Road Offices,14.05km,1.54 km,2.87km,4.5,72,1,2026-07-23,MagicBricks
PROP_011,1RK,Semi-Furnished 1RK Apartment in Malviya Nagar,Malviya Nagar,Delhi,South Delhi,Family,1,1,11,15,14,10k,"Rs. 20,000/month",₹700,500,279,Semi-Furnished,N,yes,yes,1,12 Hours,N,no,N,Yes,no,Yes,yes,0,Malviya Nagar Metro Station,0.55 km,College of Vocational Studies,0.42km,Okhla Industrial Area,4.62 km,2.5km,2.24,4.8,32,0,2026-08-06,MagicBricks
PROP_012,2BHK,Fully Furnished 2BHK Apartment in Saket,Saket,Delhi,South Delhi,Family,2,2,1,4,0,"₹42,500","Rs. 85,000/month",0,1600,963,fully-furnished,1,yes,N,0,24 Hours,yes,no,no,N,no,yes,N,0,Saket Metro Station,3.13km,Gargi College,7.09 km,Saket District Centre,14.17km,2.6,3.11,3.3,5,N,2026-07-06,99acres
PROP_013,2BHK,Fully Furnished 2BHK Apartment in Kamla Nagar,Kamla Nagar,Delhi,North Delhi,Working Bachelor,2,2,3,3,2,17000,"₹34,000",,1800,733,fully-furnished,Y,1,No,0,12 Hours,Yes,Y,0,No,no,yes,0,0,Vishwa Vidyalaya Metro Station,630m,Kirori Mal College,9.74 km,Connaught Place,9.33km,1.35 km,,4.1,70,yes,2026-08-06,Housing.com
PROP_014,2BHK,Fully Furnished 2BHK Apartment in Knowledge Park,Knowledge Park,Greater Noida,Greater Noida,Working Bachelor,2,2,4,24,14,"Rs. 15,500/month",31000,,2900,1184,Furnished,Y,1,Y,no,4 Hours,1,1,1,0,yes,Yes,Y,0,Knowledge Park II Metro Station,0.54,Sharda University,,Greater Noida Industrial Area,,0.89,5.26km,4.8,9,Y,2026-07-23,Housing.com
PROP_015,3BHK,Fully Furnished 3BHK Apartment in Saket,Saket,Delhi,South Delhi,Family,3,2,2,3,11,"₹58,500",117k,,2300,1622,fully-furnished,yes,1,no,Yes,4 Hours,1,no,no,N,0,Yes,0,no,Saket Metro Station,420m,Gargi College,,Saket District Centre,14.82km,1.64,5.78,4.4,58,yes,2026-07-20,Housing.com
